answer	qid
in a lair	fables-06-1
The Mouse , terrified ,	fables-06-2
The idea of so insignificant a creature	fables-06-3
in a net which had been spread for game by some hunters	fables-06-4
the Lion	fables-06-5
because a mouse ran into the face of the lion	fables-06-6
A trapper	fables-06-7
The lion	fables-06-8
began gnawing the rope of the net with the tooth of the mouse	fables-06-9
by Hurricane Gustav	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush	blogs-03-4
in Louisiana	blogs-03-5
in order	blogs-03-6
had a large group of pine trees and had a group of oak trees	blogs-03-7
because it owned a group of trees	blogs-03-8
in repair	blogs-03-9
An oven	blogs-06-1
scorched a group of treats and created some fire	blogs-06-2
The husband of the narrator	blogs-06-3
shut the door of the oven in order to prevent the fire spreading	blogs-06-4
A couple of weeks	blogs-06-5
The oven	blogs-06-6
malfunctioned	blogs-06-7
at 350 degrees	blogs-06-8
The oven	blogs-06-9
on a branch	fables-01-1
was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese	fables-01-2
a fox and a crow	fables-01-3
observed the crow and tried to discover how to get the cheese	fables-01-4
on a branch	fables-01-5
was a crow	fables-01-6
The crow	fables-01-7
A Lion	fables-02-1
The Bull	fables-02-2
There once be a fat bull .	fables-02-3
The bull	fables-02-4
A lion	fables-02-5
walked toward the bull and began to feign that the lion was friendly	fables-02-6
a bull and a lion	fables-02-7
my dear friend , what in the world makes you	fables-02-8
watched the bull and salivated because the lion wanted to eat the bull	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
did n't attack the bull because the lion feared sharp every horn of the bull	fables-02-11
A summit meeting name G20 summit start on eventful today .	blogs-01-1
A summit meeting named G20 summit	blogs-01-2
along the street	blogs-01-3
burned a police car and threw a thing at a police	blogs-01-4
The people	blogs-01-5
The people	blogs-01-6
The people	blogs-01-7
The people	blogs-01-8
at cops	blogs-01-9
Police cars	blogs-01-10
at the rioters	blogs-01-11
at the rioters	blogs-01-12
at the rioters	blogs-01-13
A Fox	fables-04-1
to dinner , at which the only fare provided was a large flat dish of soup	fables-04-2
in a flat and large dish	fables-04-3
a fox and a stork	fables-04-4
invited a Stork to dinner , at which the only fare provided was a large flat dish of soup	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
fitted the long bill of the stork into the long and narrow neck of the pitcher	fables-04-7
while she enjoyed her dinner	fables-04-8
of students and a narrator	blogs-05-1
checked the group of students for presence and stood at the front of a classroom	blogs-05-2
The narrator	blogs-05-3
resumed teaching	blogs-05-4
The narrator	blogs-05-5
lifted the slip and inserted it into a bottom drawer of the desk	blogs-05-6
Elastic gone What to do ?	blogs-05-7
thought I	blogs-05-8
gone What to do	blogs-05-9
A Farmer	fables-05-1
for the fields	fables-05-2
It	fables-05-3
The agriculturist set a	fables-05-4
onto the tail of the fox and in order	fables-05-5
The agriculturist	fables-05-6
The corn	fables-05-7
The agriculturist	fables-05-8
A few years	blogs-02-1
on my front lawn	blogs-02-2
I	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
of the narrator	blogs-02-5
died out on my front lawn when he crashed his motorbike	blogs-02-6
my logical mind	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
a 	blogs-02-10
began to wonder that the flash was an orb	blogs-02-11
in a group of trees that was above the narrator	blogs-02-12
The squirrel	blogs-04-1
The squirrel	blogs-04-2
The squirrel 's paw	blogs-04-3
bathed themselves in the bowl	blogs-04-4
Squirrels	blogs-04-5
I	blogs-04-6
is one of those times I wish I had a digital camera	blogs-04-7
the day	blogs-04-8
on the railing	blogs-04-9
a serpent and a eagle	fables-03-1
An Eagle	fables-03-2
swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it	fables-03-3
A countryman , who was a witness of the encounter ,	fables-03-4
swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it	fables-03-5
in a moment	fables-03-6
decided to sip from the drinking vessel	fables-03-7
The eagle	fables-03-8
spilled the drinking vessel	fables-03-9
with his exertions	fables-03-10
upon a Serpent	fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn	fables-03-12
in a beautiful pond	mc500.train.25.0
singing	mc500.train.111.0
had a good laugh at a very silly looking dog	mc500.train.111.1
She go to Miami to visit some friend .	mc500.train.0.1
ordered a salad	mc500.train.0.2
Kristin	mc500.train.0.3
to the beach	mc500.train.0.4
Alyssa	mc500.train.0.5
because they were tired	mc500.train.0.6
The girls	mc500.train.0.7
she	mc500.train.0.8
Alyssa enjoy the restaurant 's special .	mc500.train.0.9
